1.5708,1.0000
1.5812,1.0000
1.5916,0.9999
1.6020,0.9998
1.6124,0.9996
1.6228,0.9993
1.6332,0.9990
1.6436,0.9987
1.6540,0.9983
1.6644,0.9978
1.6748,0.9973
1.6852,0.9967
1.6956,0.9961
1.7060,0.9954
1.7164,0.9947
1.7268,0.9939
1.7372,0.9931
1.7476,0.9922
1.7580,0.9913
1.7684,0.9903
1.7788,0.9892
1.7893,0.9881
1.7997,0.9870
1.8101,0.9858
1.8205,0.9845
1.8309,0.9832
1.8413,0.9818
1.8517,0.9804
1.8621,0.9789
1.8725,0.9774
1.8829,0.9758
1.8933,0.9742
1.9037,0.9726
1.9141,0.9708
1.9245,0.9691
1.9349,0.9672
1.9453,0.9653
1.9557,0.9634
1.9661,0.9614
1.9765,0.9594
1.9869,0.9573
1.9973,0.9552
2.0077,0.9530
2.0181,0.9508
2.0285,0.9485
2.0389,0.9462
2.0493,0.9438
2.0597,0.9414
2.0701,0.9390
2.0805,0.9364
2.0909,0.9339
2.1013,0.9313
2.1117,0.9286
2.1221,0.9259
2.1325,0.9232
2.1429,0.9204
2.1533,0.9175
2.1637,0.9146
2.1741,0.9117
2.1846,0.9087
2.1950,0.9057
2.2054,0.9027
2.2158,0.8996
2.2262,0.8964
2.2366,0.8932
2.2470,0.8900
2.2574,0.8867
2.2678,0.8834
2.2782,0.8800
2.2886,0.8766
2.2990,0.8732
2.3094,0.8697
2.3198,0.8662
2.3302,0.8626
2.3406,0.8590
2.3510,0.8554
2.3614,0.8517
2.3718,0.8480
2.3822,0.8442
2.3926,0.8404
2.4030,0.8366
2.4134,0.8328
2.4238,0.8289
2.4342,0.8249
2.4446,0.8210
2.4550,0.8169
2.4654,0.8129
2.4758,0.8088
2.4862,0.8047
2.4966,0.8006
2.5070,0.7964
2.5174,0.7922
2.5278,0.7880
2.5382,0.7837
2.5486,0.7794
2.5590,0.7751
2.5694,0.7707
2.5799,0.7663
2.5903,0.7619
2.6007,0.7575
2.6111,0.7530
2.6215,0.7485
2.6319,0.7440
2.6423,0.7394
2.6527,0.7348
2.6631,0.7302
2.6735,0.7256
2.6839,0.7209
2.6943,0.7163
2.7047,0.7116
2.7151,0.7068
2.7255,0.7021
2.7359,0.6973
2.7463,0.6925
2.7567,0.6877
2.7671,0.6829
2.7775,0.6781
2.7879,0.6732
2.7983,0.6683
2.8087,0.6634
2.8191,0.6585
2.8295,0.6535
2.8399,0.6486
2.8503,0.6436
2.8607,0.6386
2.8711,0.6336
2.8815,0.6286
2.8919,0.6235
2.9023,0.6185
2.9127,0.6134
2.9231,0.6084
2.9335,0.6033
2.9439,0.5982
2.9543,0.5931
2.9647,0.5880
2.9752,0.5828
2.9856,0.5777
2.9960,0.5726
3.0064,0.5674
3.0168,0.5623
3.0272,0.5571
3.0376,0.5519
3.0480,0.5467
3.0584,0.5416
3.0688,0.5364
3.0792,0.5312
3.0896,0.5260
3.1000,0.5208
3.1104,0.5156
3.1208,0.5104
3.1312,0.5052
